,vehicle-name,vehicle-id,start-latitude,start-longitude,end-latitude,end-longitude,start-time,end-time,capacity,speed-multiplier,cost-per-km,cost-per-hour,waiting-cost-per-hour,fixed-cost,skills,number-of-vehicles,day,yard
0,X4225,MWD-72-1_2_4,53.45417787,-113.4393666,53.45417787,-113.4393666,270,278.75,10000,1,0.001,1,0.5,100,neighbourhood,1,11,MWD
0,X4225,MWD-72-1_2_5,53.45417787,-113.4393666,53.45417787,-113.4393666,294,302.75,10000,1,0.001,1,0.5,100,roadway,1,12,MWD
0,X4225,MWD-72-1_2_6,53.45417787,-113.4393666,53.45417787,-113.4393666,318,326.75,10000,1,0.001,1,0.5,100,neighbourhood,1,13,MWD
0,X4225,MWD-72-1_2_0,53.45417787,-113.4393666,53.45417787,-113.4393666,174,182.75,10000,1,0.001,1,0.5,100,neighbourhood,1,7,MWD
0,X4225,MWD-72-1_2_1,53.45417787,-113.4393666,53.45417787,-113.4393666,198,206.75,10000,1,0.001,1,0.5,100,roadway,1,8,MWD
0,X4225,MWD-72-1_2_2,53.45417787,-113.4393666,53.45417787,-113.4393666,222,230.75,10000,1,0.001,1,0.5,100,roadway,1,9,MWD
0,X4226,MWD-72-2_2_3,53.45417787,-113.4393666,53.45417787,-113.4393666,246,254.75,10000,1,0.001,1,0.5,100,neighbourhood,1,10,MWD
0,X4226,MWD-72-2_2_4,53.45417787,-113.4393666,53.45417787,-113.4393666,270,278.75,10000,1,0.001,1,0.5,100,neighbourhood,1,11,MWD
0,X4226,MWD-72-2_2_5,53.45417787,-113.4393666,53.45417787,-113.4393666,294,302.75,10000,1,0.001,1,0.5,100,neighbourhood,1,12,MWD
0,X4226,MWD-72-2_2_6,53.45417787,-113.4393666,53.45417787,-113.4393666,318,326.75,10000,1,0.001,1,0.5,100,neighbourhood,1,13,MWD
0,X4226,MWD-72-2_2_0,53.45417787,-113.4393666,53.45417787,-113.4393666,174,182.75,10000,1,0.001,1,0.5,100,neighbourhood,1,7,MWD
0,X4226,MWD-72-2_2_1,53.45417787,-113.4393666,53.45417787,-113.4393666,198,206.75,10000,1,0.001,1,0.5,100,roadway,1,8,MWD
0,X4226,MWD-72-2_2_2,53.45417787,-113.4393666,53.45417787,-113.4393666,222,230.75,10000,1,0.001,1,0.5,100,roadway,1,9,MWD
0,X4236,MWD-72-3_2_3,53.45417787,-113.4393666,53.45417787,-113.4393666,246,254.75,10000,1,0.001,1,0.5,100,neighbourhood,1,10,MWD
